Date,Product ID,Product Name,Category,Demand (Units Sold),Inventory Level,Reorder Point,Lead Time (days),Supplier ID,Region,Warehouse,Stock Status,Order Quantity
2022-01-01,PRD1001,Smartphone,Electronics,73,348,147,4,SUP105,Oceania,WH-C,In Stock,0
2022-01-01,PRD1001,Smartphone,Electronics,11,433,93,8,SUP106,North America,WH-D,In Stock,0
2022-01-01,PRD1002,Tablet,Electronics,29,31,126,10,SUP108,Oceania,WH-C,Low Stock,253
2022-01-01,PRD1004,Smartwatch,Electronics,18,224,129,10,SUP100,South America,WH-C,In Stock,0
2022-01-01,PRD1006,Jeans,Clothing,56,110,136,12,SUP107,Asia,WH-A,Low Stock,107
2022-01-01,PRD1008,Jacket,Clothing,5,486,109,4,SUP100,North America,WH-C,In Stock,0
2022-01-01,PRD1014,Air Purifier,Home & Kitchen,15,115,95,4,SUP107,North America,WH-C,In Stock,0
2022-01-01,PRD1016,Dumbbells,Sports,70,234,142,6,SUP105,North America,WH-C,In Stock,0
2022-01-01,PRD1016,Dumbbells,Sports,24,443,73,9,SUP103,Asia,WH-B,In Stock,0
2022-01-01,PRD1017,Tennis Racket,Sports,33,71,66,3,SUP102,Asia,WH-D,In Stock,0
2022-01-01,PRD1018,Basketball,Sports,44,463,63,7,SUP104,North America,WH-B,In Stock,0
2022-01-01,PRD1020,Moisturizer,Beauty,54,409,90,3,SUP104,Asia,WH-A,In Stock,0
2022-01-01,PRD1022,Lipstick,Beauty,72,283,53,11,SUP101,Oceania,WH-A,In Stock,0
2022-01-01,PRD1023,Shampoo,Beauty,61,366,147,8,SUP107,Oceania,WH-C,In Stock,0
2022-01-02,PRD1008,Jacket,Clothing,72,492,114,6,SUP103,Oceania,WH-A,In Stock,0
2022-01-02,PRD1009,Sweater,Clothing,17,106,95,9,SUP102,Europe,WH-A,In Stock,0
2022-01-02,PRD1011,Microwave,Home & Kitchen,119,471,77,7,SUP109,North America,WH-A,In Stock,0
2022-01-02,PRD1012,Coffee Maker,Home & Kitchen,77,56,92,12,SUP106,Oceania,WH-A,Low Stock,130
2022-01-02,PRD1014,Air Purifier,Home & Kitchen,57,284,132,5,SUP106,Oceania,WH-A,In Stock,0
2022-01-02,PRD1014,Air Purifier,Home & Kitchen,77,91,105,7,SUP105,Oceania,WH-A,Low Stock,144
2022-01-02,PRD1019,Treadmill,Sports,0,471,128,9,SUP109,North America,WH-B,In Stock,0
2022-01-02,PRD1022,Lipstick,Beauty,110,497,71,11,SUP104,North America,WH-A,In Stock,0
2022-01-03,PRD1000,Laptop,Electronics,23,136,98,3,SUP104,Europe,WH-C,In Stock,0
2022-01-03,PRD1000,Laptop,Electronics,61,156,80,3,SUP108,Asia,WH-C,In Stock,0
2022-01-03,PRD1001,Smartphone,Electronics,95,277,97,12,SUP107,Asia,WH-C,In Stock,0
2022-01-03,PRD1002,Tablet,Electronics,25,328,117,7,SUP101,Asia,WH-A,In Stock,0
2022-01-03,PRD1002,Tablet,Electronics,16,74,119,5,SUP104,Oceania,WH-C,Low Stock,296
2022-01-03,PRD1003,Headphones,Electronics,53,439,121,9,SUP105,Oceania,WH-A,In Stock,0
2022-01-03,PRD1003,Headphones,Electronics,30,185,78,8,SUP103,Asia,WH-D,In Stock,0
2022-01-03,PRD1005,T-Shirt,Clothing,6,52,69,12,SUP105,South America,WH-B,Low Stock,283
2022-01-03,PRD1005,T-Shirt,Clothing,13,332,133,11,SUP102,South America,WH-A,In Stock,0
2022-01-03,PRD1009,Sweater,Clothing,53,395,85,10,SUP103,Oceania,WH-D,In Stock,0
2022-01-03,PRD1016,Dumbbells,Sports,39,178,130,11,SUP108,Oceania,WH-C,In Stock,0
2022-01-03,PRD1023,Shampoo,Beauty,97,357,107,13,SUP100,Oceania,WH-C,In Stock,0
2022-01-03,PRD1023,Shampoo,Beauty,66,342,67,7,SUP105,Oceania,WH-A,In Stock,0
2022-01-04,PRD1000,Laptop,Electronics,54,278,80,4,SUP104,North America,WH-A,In Stock,0
2022-01-04,PRD1003,Headphones,Electronics,65,499,130,13,SUP106,North America,WH-D,In Stock,0
2022-01-04,PRD1003,Headphones,Electronics,38,141,58,10,SUP108,South America,WH-A,In Stock,0
2022-01-04,PRD1007,Sneakers,Clothing,16,483,122,8,SUP100,Asia,WH-C,In Stock,0
2022-01-04,PRD1010,Blender,Home & Kitchen,89,491,124,13,SUP108,South America,WH-A,In Stock,0
2022-01-04,PRD1012,Coffee Maker,Home & Kitchen,110,127,134,12,SUP103,North America,WH-B,Low Stock,133
2022-01-04,PRD1015,Yoga Mat,Sports,31,381,126,7,SUP100,Oceania,WH-B,In Stock,0
2022-01-04,PRD1015,Yoga Mat,Sports,32,341,106,7,SUP106,South America,WH-B,In Stock,0
2022-01-04,PRD1017,Tennis Racket,Sports,0,255,84,13,SUP102,Oceania,WH-D,In Stock,0
2022-01-04,PRD1018,Basketball,Sports,84,280,112,8,SUP105,Oceania,WH-B,In Stock,0
2022-01-04,PRD1019,Treadmill,Sports,26,284,102,10,SUP107,Oceania,WH-D,In Stock,0
2022-01-04,PRD1020,Moisturizer,Beauty,10,193,57,11,SUP101,South America,WH-B,In Stock,0
2022-01-04,PRD1020,Moisturizer,Beauty,73,88,103,5,SUP101,North America,WH-C,Low Stock,199
2022-01-04,PRD1020,Moisturizer,Beauty,63,236,100,7,SUP101,Asia,WH-A,In Stock,0
2022-01-04,PRD1023,Shampoo,Beauty,77,26,130,11,SUP100,Oceania,WH-D,Low Stock,156
2022-01-05,PRD1000,Laptop,Electronics,87,239,56,12,SUP103,South America,WH-A,In Stock,0
2022-01-05,PRD1010,Blender,Home & Kitchen,90,144,81,5,SUP108,South America,WH-D,In Stock,0
2022-01-05,PRD1010,Blender,Home & Kitchen,73,174,123,7,SUP100,South America,WH-B,In Stock,0
2022-01-05,PRD1011,Microwave,Home & Kitchen,88,305,134,3,SUP103,South America,WH-D,In Stock,0
2022-01-05,PRD1013,Vacuum Cleaner,Home & Kitchen,106,213,112,7,SUP105,North America,WH-A,In Stock,0
2022-01-05,PRD1017,Tennis Racket,Sports,69,302,105,7,SUP109,Europe,WH-C,In Stock,0
2022-01-05,PRD1018,Basketball,Sports,62,267,118,10,SUP100,Europe,WH-C,In Stock,0
2022-01-05,PRD1018,Basketball,Sports,71,496,68,5,SUP101,Europe,WH-C,In Stock,0
2022-01-05,PRD1019,Treadmill,Sports,35,225,64,12,SUP104,Oceania,WH-B,In Stock,0
2022-01-05,PRD1019,Treadmill,Sports,17,234,62,5,SUP100,North America,WH-B,In Stock,0
2022-01-05,PRD1020,Moisturizer,Beauty,60,23,135,3,SUP101,Europe,WH-C,Low Stock,125
2022-01-05,PRD1021,Perfume,Beauty,51,393,120,6,SUP109,Asia,WH-C,In Stock,0
2022-01-05,PRD1023,Shampoo,Beauty,89,317,92,4,SUP101,Europe,WH-A,In Stock,0
2022-01-06,PRD1004,Smartwatch,Electronics,21,165,118,3,SUP101,South America,WH-A,In Stock,0
2022-01-06,PRD1005,T-Shirt,Clothing,0,225,112,4,SUP104,North America,WH-C,In Stock,0
2022-01-06,PRD1009,Sweater,Clothing,81,294,63,8,SUP109,North America,WH-A,In Stock,0
2022-01-06,PRD1010,Blender,Home & Kitchen,11,348,103,5,SUP106,North America,WH-D,In Stock,0
2022-01-06,PRD1012,Coffee Maker,Home & Kitchen,2,65,124,6,SUP105,North America,WH-A,Low Stock,213
2022-01-06,PRD1015,Yoga Mat,Sports,0,13,52,3,SUP100,South America,WH-D,Low Stock,128
2022-01-06,PRD1015,Yoga Mat,Sports,0,164,58,7,SUP101,Europe,WH-A,In Stock,0
2022-01-06,PRD1018,Basketball,Sports,21,203,137,11,SUP102,North America,WH-B,In Stock,0
2022-01-06,PRD1022,Lipstick,Beauty,86,373,140,4,SUP109,Oceania,WH-A,In Stock,0
2022-01-06,PRD1022,Lipstick,Beauty,79,463,125,13,SUP106,Europe,WH-C,In Stock,0
2022-01-06,PRD1024,Sunscreen,Beauty,95,51,93,6,SUP108,North America,WH-B,Low Stock,256
2022-01-07,PRD1000,Laptop,Electronics,15,105,132,6,SUP105,Oceania,WH-C,Low Stock,140
2022-01-07,PRD1002,Tablet,Electronics,57,289,99,7,SUP101,Asia,WH-C,In Stock,0
2022-01-07,PRD1003,Headphones,Electronics,54,406,61,13,SUP100,Oceania,WH-C,In Stock,0
2022-01-07,PRD1003,Headphones,Electronics,0,394,64,4,SUP105,Europe,WH-B,In Stock,0
2022-01-07,PRD1007,Sneakers,Clothing,40,189,141,7,SUP101,South America,WH-B,In Stock,0
2022-01-07,PRD1007,Sneakers,Clothing,79,220,134,12,SUP103,Oceania,WH-C,In Stock,0
2022-01-07,PRD1009,Sweater,Clothing,26,35,74,8,SUP107,Europe,WH-C,Low Stock,233
2022-01-07,PRD1009,Sweater,Clothing,59,23,58,4,SUP100,Europe,WH-B,Low Stock,244
2022-01-07,PRD1012,Coffee Maker,Home & Kitchen,56,144,81,12,SUP108,South America,WH-B,In Stock,0
2022-01-07,PRD1013,Vacuum Cleaner,Home & Kitchen,32,428,72,4,SUP108,Europe,WH-A,In Stock,0
2022-01-07,PRD1013,Vacuum Cleaner,Home & Kitchen,78,117,84,13,SUP100,South America,WH-A,In Stock,0
2022-01-07,PRD1019,Treadmill,Sports,11,232,72,12,SUP103,Europe,WH-C,In Stock,0
2022-01-07,PRD1020,Moisturizer,Beauty,70,300,103,3,SUP105,Oceania,WH-D,In Stock,0
2022-01-07,PRD1021,Perfume,Beauty,53,275,133,11,SUP104,North America,WH-C,In Stock,0
2022-01-07,PRD1021,Perfume,Beauty,68,499,60,4,SUP103,Oceania,WH-A,In Stock,0
2022-01-07,PRD1021,Perfume,Beauty,107,52,68,11,SUP109,North America,WH-D,Low Stock,138
2022-01-07,PRD1021,Perfume,Beauty,100,456,114,4,SUP107,Asia,WH-C,In Stock,0
2022-01-07,PRD1021,Perfume,Beauty,75,377,60,8,SUP101,Europe,WH-C,In Stock,0
2022-01-07,PRD1022,Lipstick,Beauty,34,461,85,5,SUP102,North America,WH-A,In Stock,0
2022-01-07,PRD1023,Shampoo,Beauty,86,69,146,7,SUP101,North America,WH-A,Low Stock,250
2022-01-08,PRD1004,Smartwatch,Electronics,52,430,74,13,SUP101,Oceania,WH-A,In Stock,0
2022-01-08,PRD1004,Smartwatch,Electronics,60,71,59,5,SUP106,South America,WH-A,In Stock,0
2022-01-08,PRD1004,Smartwatch,Electronics,101,391,60,10,SUP106,Oceania,WH-C,In Stock,0
2022-01-08,PRD1005,T-Shirt,Clothing,62,349,110,5,SUP108,Europe,WH-D,In Stock,0
2022-01-08,PRD1007,Sneakers,Clothing,70,250,65,11,SUP106,South America,WH-C,In Stock,0
2022-01-08,PRD1007,Sneakers,Clothing,0,335,76,9,SUP100,Oceania,WH-C,In Stock,0
2022-01-08,PRD1008,Jacket,Clothing,0,20,80,7,SUP107,North America,WH-C,Low Stock,242
2022-01-08,PRD1011,Microwave,Home & Kitchen,61,365,129,5,SUP103,Asia,WH-A,In Stock,0
2022-01-08,PRD1014,Air Purifier,Home & Kitchen,9,144,87,3,SUP105,Asia,WH-B,In Stock,0
2022-01-08,PRD1015,Yoga Mat,Sports,32,203,55,11,SUP106,Oceania,WH-C,In Stock,0
2022-01-08,PRD1015,Yoga Mat,Sports,40,418,67,12,SUP104,South America,WH-D,In Stock,0
